#This annotation file adds more informative labels for nodes, replacing the accession number with the virus' name.

LABELS

SEPARATOR TAB

DATA

MW331544	Vibrio phage vB_Vc_SrVc2 (MW331544)
MW325771	Salmonella phage KM16 (MW325771)
MW291508	Stenotrophomonas phage BUCT555 (MW291508)
MW248466	Staphylococcus phage MarsHill (MW248466)
MW239157	Klebsiella phage vB_KpnM_17-11 (MW239157)
MW114771	Vibrio phage pVco-14 (MW114771)
MW023914	Rhizobium phage vB_RleA_TRX32-1 (MW023914)
MT949699	Acinetobacter phage Maestro (MT949699)
MW406976	Pseudomonas phage HX1 (MW406976)
MW406975	Pseudomonas phage MYY9 (MW406975)
MW423739	Vibrio phage PH669 (MW423739)
MW423738	Vibrio phage PH669 (MW423738)
MW423737	Vibrio phage PH669 (MW423737)
MW358931	Providencia phage PSTRCR_128 (MW358931)
MW358930	Providencia phage PSTRCR_114 (MW358930)
MW358929	Providencia phage PSTRCR_117lys (MW358929)
MW358928	Providencia phage PSTRCR_120 (MW358928)
MW358927	Providencia phage PSTRCR_127 (MW358927)
MW296032	Salmonella phage pSal-SNUABM-01 (MW296032)
MT944117	Escherichia phage PNJ1809-36 (MT944117)
MT740748	Aeromonas phage T7-Ah (MT740748)
MT380195	Klebsiella phage vB_Kpn_B01 (MT380195)
MT002874	Pseudoalteromonas phage XC (MT002874)
MT899444	Liberibacter phage P-PAK1 (MT899444)
MT899443	Liberibacter phage P-PAK2 (MT899443)
MT135176	Hafnia phage vB_HpaM_yong1 (MT135176)
MN929097	Parabacteroides phage PDS1 (MN929097)
MN917146	Bacteroides phage crAss002 (MN917146)
MN087708	Enterobacter phage vB_EhoM-IME523 (MN087708)
MK610268	Hafnia phage vB_HpaA_yong1 (MK610268)
MW272540	Aeromonas phage ZPAH1 (MW272540)
MW343794	Cronobacter phage A24 (MW343794)
MW239124	Citrobacter phage CkP1 (MW239124)
MW334946	Cyanophage S-2L (MW334946)
MW296865	Salmonella phage SP3 (MW296865)
MW009675	Vibrio phage vB_VpP_BT-1011 (MW009675)
MW233709	Escherichia phage UPEC01 (MW233709)
MT975991	Alteromonas phage phiAFP1 (MT975991)
MT653137	Salmonella phage S55 (MT653137)
MT161459	Aeromonas phage Ahp1 (MT161459)
NC_014459	Mycobacterium virus Crimd (NC_014459)
NC_028803	Mycobacterium phage OSmaximus (NC_028803)
NC_028681	Mycobacterium phage Pops (NC_028681)
NC_018838	Propionibacterium phage P100_A (NC_018838)
NC_018834	Propionibacterium phage P9.1 (NC_018834)
NC_015584	Mycobacterium virus Faith1 (NC_015584)
NC_014461	Mycobacterium virus Bron (NC_014461)
NC_014458	Mycobacterium virus Angelica (NC_014458)
NC_013694	Mycobacterium virus Peaches (NC_013694)
NC_013650	Mycobacterium phage ET08 (NC_013650)
NC_011057	Mycobacterium phage Phaedrus (NC_011057)
MK455770	Aeromonas phage HJG (MK455770)
MW273926	Pelagibacter phage HTVC204P (MW273926)
MW273925	Pelagibacter phage HTVC203P (MW273925)
MW273924	Pelagibacter phage HTVC100P (MW273924)
MW273923	Pelagibacter phage HTVC035P (MW273923)
MW273922	Pelagibacter phage HTVC034P (MW273922)
MW273921	Pelagibacter phage HTVC028P (MW273921)
MW273920	Pelagibacter phage HTVC024P (MW273920)
MW269554	Achromobacter phage vB_AchrS_AchV4 (MW269554)
MW281503	Bacillus phage Anthos (MW281503)
MW302330	Stenotrophomonas phage TS-12 (MW302330)
MW021758	Serratia phage vB_SmaM_Yaphecito (MW021758)
MW021756	Cronobacter phage vB_CsaM_SemperBestia (MW021756)
MW021748	Citrobacter phage vB_CfrD_ZerotoHero (MW021748)
MW021768	Serratia phage vB_SmaS_GingerNinja (MW021768)
MW021767	Serratia phage vB_SmaS_Tigre (MW021767)
MW021766	Serratia phage vB_SmaS_Jello (MW021766)
MW021765	Klebsiella phage vB_KpnS_IMGroot (MW021765)
MW021764	Pseudomonas phage P528 (MW021764)
MW021763	Serratia phage vB_SmaS_Bigdog (MW021763)
MW021762	Klebsiella phage vB_KpnS_SegesCirculi (MW021762)
MW021761	Serratia phage vB_SmaS_Rovert (MW021761)
MW021760	Salmonella phage vB_SenM_SilasIsHot (MW021760)
MW021759	Serratia phage vB_SmaM_Hera (MW021759)
MW021757	Citrobacter phage vB_CfrM_Sajous1 (MW021757)
MW021755	Serratia phage vB_SmaS_Serratianator (MW021755)
MW021754	Salmonella phage vB_SenM_FrontPhageNews (MW021754)
MW021753	Salmonella phage vB_SenM_AR2819 (MW021753)
MW021752	Klebsiella phage vB_KpnM_BovinicusUrsus (MW021752)
MW021751	Cronobacter phage vB_CsaM_Cronuts (MW021751)
MW021750	Citrobacter phage vB_CfrD_Supreme284 (MW021750)
MW021749	Citrobacter phage vB_Cfr_Xman (MW021749)
MW001214	Bacillus phage SP8 (MW001214)
MT863731	Campylobacter phage F375 (MT863731)
MT863730	Campylobacter phage F374 (MT863730)
MT863729	Campylobacter phage F372 (MT863729)
MT863728	Campylobacter phage F371 (MT863728)
